Offering ID,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Offering Status,Confirmed Registrations,Instructor Name
127118,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,11,Elizabeth McKeown
127119,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,11,"Elizabeth McKeown, Richard Landry"
127120,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,11,"Elizabeth McKeown, Jean-Marc Dupont"
127121,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,9,"Elizabeth McKeown, Jean-Marc Dupont"
127122,2020-08-18 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Cancelled - Normal,0,Unknown
127124,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,16,"Elizabeth McKeown, Felicity Mulgan"
127125,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Open - Normal,23,"Daniel Richer, Felicity Mulgan"
127126,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Delivered - Normal,9,"Daniel Richer, Richard Landry"
127127,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Cancelled - Normal,0,Unknown
127128,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Open - Normal,8,"Daniel Richer, Jean-Marc Dupont"
127129,2020-09-30 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,English/Anglais,Open - Normal,3,Richard Landry
127132,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Delivered - Normal,12,"Daniel Richer, Jean-Marc Dupont"
127133,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,11,"Elizabeth McKeown, Jean-Marc Dupont"
127134,2020-09-30 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,French/Français,Open - Normal,1,Richard Landry
127135,2020-08-27 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,French/Français,Cancelled - Normal,0,Unknown
127156,2020-09-08 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Cancelled - Normal,0,Unknown
127187,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,Open - Normal,41,Unknown
127189,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,Open - Normal,24,Unknown
127190,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,Open - Normal,67,Unknown
127191,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,Open - Normal,40,Unknown
127782,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Open - Normal,27,Elizabeth McKeown
127783,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Open - Normal,9,Richard Landry
127853,2021-01-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Open - Normal,3,Elizabeth McKeown
127956,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Delivered - Normal,12,Jean-Marc Dupont
127958,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,22,Jean-Marc Dupont
127959,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,Delivered - Normal,16,Isa David
127960,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,26,Richard Landry
127961,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,24,Elizabeth McKeown
127962,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,24,Richard Landry
127963,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,26,Richard Landry
127964,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,24,Isa David
127965,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,24,Richard Landry
127966,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,Open - Normal,24,Jean-Marc Dupont
127967,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,Open - Normal,24,Isa David
127968,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,Open - Normal,17,Isa David
127969,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,11,Elizabeth McKeown
127971,2021-01-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,1,Jean-Marc Dupont
128179,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,26,Jean-Marc Dupont
128180,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,23,Jean-Marc Dupont
128181,2020-10-29 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,1,Jean-Marc Dupont
128182,2020-11-10 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,1,Jean-Marc Dupont
128183,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,15,Jean-Marc Dupont
