Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
127863,regdw000000004661537,2,2020-09-10 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127863,regdw000000004666703,2,2020-09-14 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Shared Services Canada,CS
127863,regdw000000004668025,2,2020-09-14 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Canadian Nuclear Safety Commission,REG
127864,regdw000000004654550,2,2020-09-08 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,Department of National Defence (Civilian),TI
127868,regdw000000004631255,2,2020-08-30 0:00:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,French/Français,0,Confirmed,Public Safety Canada,EX
127869,regdw000000004663282,2,2020-09-11 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127871,regdw000000004650985,2,2020-09-04 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,CO
127871,regdw000000004667404,2,2020-09-14 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Public Service Commission,AS
127871,regdw000000004669482,2,2020-09-15 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,EX
128010,regdw000000004663889,2,2020-09-11 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128023,regdw000000004657901,2,2020-09-09 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,French/Français,0,Confirmed,Translation Bureau,AS
127863,regdw000000004671413,2,2020-09-15 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Translation Bureau,AS
127863,regdw000000004674537,2,2020-09-16 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127864,regdw000000004656787,2,2020-09-09 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,AS
127864,regdw000000004657840,2,2020-09-09 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,Translation Bureau,AS
127867,regdw000000004660695,2,2020-09-10 0:00:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,Shared Services Canada,CS
127867,regdw000000004663469,2,2020-09-11 0:00:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
127869,regdw000000004656242,2,2020-09-09 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127871,regdw000000004660447,2,2020-09-10 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Public Services and Procurement Canada,AS
127871,regdw000000004660773,2,2020-09-10 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,HR
127871,regdw000000004661609,2,2020-09-10 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127871,regdw000000004662080,2,2020-09-11 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Office of the Superintendent of Financial Institutions,Unknown
127871,regdw000000004667037,2,2020-09-14 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Treasury Board of Canada Secretariat,EC
127872,regdw000000004674089,2,2020-09-16 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
127870,regdw000000004659134,2,2020-09-10 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,French/Français,0,Confirmed,Veterans Affairs Canada,CR
127871,regdw000000004662416,2,2020-09-11 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,EC
127871,regdw000000004664654,2,2020-09-11 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
127872,regdw000000004657955,2,2020-09-09 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,French/Français,0,Confirmed,Translation Bureau,AS
127874,regdw000000004673308,2,2020-09-16 0:00:00,I609,Exploring the Relationship between UI/UX Design (I609),Online - Self-paced,French/Français,0,Cancelled,Employment and Social Development Canada,PE
128010,regdw000000004672538,2,2020-09-16 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,English/Anglais,0,Confirmed,Translation Bureau,AS
128029,regdw000000004658072,2,2020-09-09 0:00:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128063,regdw000000004655369,2,2020-09-08 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Public Safety and Emergency Preparedness Canada,Unknown
128063,regdw000000004657980,2,2020-09-09 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,AS
128063,regdw000000004662418,2,2020-09-11 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,EC
128064,regdw000000004654064,2,2020-09-08 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
128064,regdw000000004658205,2,2020-09-09 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,French/Français,0,Confirmed,Translation Bureau,AS
128065,regdw000000004668143,2,2020-09-14 0:00:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,PM
128101,regdw000000004671835,2,2020-09-15 0:00:00,I638,The Essential Role of the Agile Product Owner (I638),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
