Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I609,Exploring the Relationship between UI/UX Design (I609),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-11 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-11 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-11 0:00,I609,Exploring the Relationship between UI/UX Design (I609),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-11 0:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-13 0:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-13 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-14 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-14 0:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-14 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-15 0:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-15 0:00,I638,The Essential Role of the Agile Product Owner (I638),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-16 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-18 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-20 0:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-22 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-22 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,British Columbia,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canada Revenue Agency,Manitoba,2020-08-17 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-08-17 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-08-17 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-08-17 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-08-18 0:00,I611,Connecting with the Internet of Things (I611),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canada Revenue Agency,Manitoba,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,Jean-Marc Dupont
Canada Revenue Agency,Manitoba,2020-09-08 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-09-22 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-09-23 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-09-23 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Manitoba,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Manitoba,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Manitoba,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Manitoba,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Isa David
Canada Revenue Agency,Manitoba,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Manitoba,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canada Revenue Agency,Newfoundland and Labrador,2020-09-15 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Newfoundland and Labrador,2020-09-22 0:00,I611,Connecting with the Internet of Things (I611),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,Elizabeth McKeown
Canada Revenue Agency,Ontario,2020-08-12 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-13 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-17 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-18 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-18 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-19 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-19 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-19 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-20 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-20 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-20 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-08-20 0:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Jean-Marc Dupont
Canada Revenue Agency,Ontario,2020-09-08 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-08 0:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-09 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-09 0:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-10 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-10 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-11 0:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-11 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-14 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-14 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-15 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-15 0:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-15 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-15 0:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-16 0:00,I556,Embracing an Agile Culture for Business Growth (I556),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-16 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-17 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-17 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-17 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-17 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-17 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-17 0:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-18 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-18 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-21 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-21 0:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
