Learner Location,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Offering Status,Instructor Name
EDMONTON,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
EDMONTON,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
EDMONTON,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
EDMONTON,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
EDMONTON,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Isa David
FREDERICTON,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
FREDERICTON,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
GATINEAU,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,Elizabeth McKeown
GATINEAU,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,Elizabeth McKeown
GATINEAU,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
GATINEAU,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
GATINEAU,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Richard Landry"
GATINEAU,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
GATINEAU,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
GATINEAU,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
GATINEAU,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
GATINEAU,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Normal,Unknown
GATINEAU,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
GATINEAU,2020-09-08 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled - Normal,Unknown
GATINEAU,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
GATINEAU,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,1,Delivered - Normal,Jean-Marc Dupont
GATINEAU,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
GATINEAU,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
GATINEAU,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Delivered - Normal,Isa David
GATINEAU,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
GATINEAU,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,1,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
GATINEAU,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
GATINEAU,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
GATINEAU,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,"Daniel Richer, Felicity Mulgan"
GATINEAU,2020-09-30 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
GATINEAU,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
GATINEAU,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
GATINEAU,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
GATINEAU,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
GATINEAU,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
GATINEAU,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Isa David
GATINEAU,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
GATINEAU,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
GATINEAU,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
GATINEAU,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
GATINEAU,2021-01-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
GUELPH,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
GUELPH,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
HALIFAX,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
HALIFAX,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
HALIFAX,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
HALIFAX,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
HALIFAX,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
HALIFAX,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
HALIFAX,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
HAMILTON,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
HAMILTON,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Isa David
HAMILTON,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
HAMILTON,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
KENTVILLE,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
KINGSTON,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
KINGSTON,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
